1;40;6;"19"
2;9;5;"80"
3;26;7;"03"
4;20;7;"87"
5;9;5;"34"
6;31;4;"02"
7;28;5;"39"
8;16;5;"63"
9;22;6;"70"
10;13;7;"86"
11;38;7;"53"
12;50;6;"52"
13;51;10;"81"
14;10;10;"30"
15;21;6;"63"
16;25;7;"58"
17;8;5;"24"
18;21;7;"24"
19;30;3;"24"
20;9;8;"22"
21;38;4;"24"
22;6;5;"34"
23;16;3;"34"
24;38;6;"01"
25;35;8;"75"
26;39;7;"35"
27;35;8;"33"
28;34;5;"67"
29;38;4;"95"
30;33;6;"95"
31;37;8;"87"
32;42;4;"62"
33;33;8;"47"
34;44;4;"04"
35;6;6;"09"
36;47;5;"14"
37;44;3;"90"
38;29;9;"24"
39;7;5;"28"
40;8;2;"59"
41;47;6;"77"
42;49;6;"03"
43;27;10;"41"
44;30;4;"45"
