OZAN;469
CORMORANCHE-SUR-SAONE;903
PLAGNE;83
TOSSIAT;1111
POUILLAT;58
TORCIEU;643
REPLONGES;2841
CORCELLES;222
PERON;1578
RELEVANT;367
CHAVEYRIAT;810
VAUX-EN-BUGEY;1003
MAILLAT;664
FARAMANS;591
BEON;364
SAINT-BERNARD;1281
ROSSILLON;147
PONT-D'AIN;2309
NANTUA;3922
CHAVANNES-SUR-REYSSOUZE;580
NEUVILLE-LES-DAMES;1232
FLAXIEU;50
HOTONNES;295
SAINT-SORLIN-EN-BUGEY;938
SONGIEU;123
VIRIEU-LE-PETIT;281
SAINT-DENIS-EN-BUGEY;1939
CHARNOZ-SUR-AIN;808
CHAZEY-SUR-AIN;1200
MARCHAMP;108
CULOZ;2620
MANTENAY-MONTLIN;247
MARBOZ;2164
FOISSIAT;1562
TREFFORT-CUISIAT;1908
IZIEU;178
SAINT-ETIENNE-DU-BOIS;2045
HAUTEVILLE-LOMPNES;3653
SAINT-TRIVIER-SUR-MOIGNANS;1537
PEYRIAT;157
EVOSGES;109
PONCIN;1371
CRANS;258
MONTREAL-LA-CLUSE;3699
CLEYZIEU;116
LOMPNIEU;103
VILLEREVERSURE;1102
SAINT-MARTIN-DU-MONT;1304
SAINT-GENIS-POUILLY;6382
BOLOZON;94
CONFRANCON;862
LOCHIEU;73
CHANOZ-CHATENAY;492
VILLEBOIS;953
CEIGNES;229
SAINT-DIDIER-SUR-CHALARONNE;2263
REVONNAS;493
BOURG-SAINT-CHRISTOPHE;824
CONDEISSIAT;649
PIRAJOUX;299
CHALAMONT;1656
LE PLANTAY;416
VERSAILLEUX;254
MONTAGNAT;1421
VIEU;311
SAINT-ANDRE-DE-CORCY;3098
BRESSOLLES;587
PERONNAS;5530
COLOMIEU;128
MONTHIEUX;579
SAINT-JEAN-SUR-REYSSOUZE;582
GARNERANS;565
MONTREVEL-EN-BRESSE;1995
CONAND;69
CHALLES-LA-MONTAGNE;203
MOGNENEINS;572
THOISSEY;1355
CHALEINS;1025
NEUVILLE-SUR-AIN;1237
THIL;946
JUJURIEUX;1696
ONCIEU;78
LURCY;256
BALAN;1534
AMBUTRIX;586
SAINTE-CROIX;468
BLYES;691
CONZIEU;99
NIEVROZ;1359
NURIEUX-VOLOGNAT;952
AMBLEON;86
SAINT-MAURICE-DE-GOURDANS;1949
CHEZERY-FORENS;367
SAULT-BRENAZ;974
MURS-ET-GELIGNIEUX;204
LE PETIT-ABERGEMENT;142
CORMOZ;512
SAINT-MARTIN-DE-BAVEL;333
SAINT-TRIVIER-DE-COURTES;963
BOYEUX-SAINT-JEROME;277
CHATEAU-GAILLARD;1370
PREMEYZEL;242
ARANDAS;135
CHATENAY;308
INNIMOND;95
BOZ;360
BRIORD;674
REYRIEUX;3690
MATAFELON-GRANGES;484
DROM;160
CHATILLON-EN-MICHAILLE;2657
POLLIAT;2019
VESANCY;449
MASSIEUX;2119
SAINT-CYR-SUR-MENTHON;1313
SERRIERES-SUR-AIN;79
NIVOLLET-MONTGRIFFON;91
IZERNORE;1652
SAINT-NIZIER-LE-DESERT;489
GUEREINS;1065
ILLIAT;464
LA TRANCLIERE;300
SAINT-DIDIER-DE-FORMANS;1545
MERIGNAT;114
SAINT-ELOI;403
LA CHAPELLE-DU-CHATELARD;263
SAINT-JEAN-DE-NIOST;1082
SAVIGNEUX;876
NATTAGES;393
SAINT-BENOIT;582
DOUVRES;646
FRANCHELEINS;994
DORTAN;2188
SAINT-GERMAIN-LES-PAROISSES;307
MIRIBEL;8545
LANCRANS;934
ECHENEVEX;1203
SAINT-JEAN-SUR-VEYLE;958
BILLIAT;411
L'ABERGEMENT-DE-VAREY;167
VILLENEUVE;939
VILLARS-LES-DOMBES;4197
THEZILLIEU;300
SAINT-ETIENNE-SUR-REYSSOUZE;387
SOUCLIN;221
SAINT-JUST;788
CIVRIEUX;1079
ARGIS;389
TALISSIEU;405
BIRIEUX;145
SAINT-JULIEN-SUR-VEYLE;523
THOIRY;4068
LAIZ;990
CRESSIN-ROCHEFORT;308
SAINT-CHAMP;132
SAINT-GEORGES-SUR-RENON;162
LANTENAY;257
VERNOUX;127
CORMARANCHE-EN-BUGEY;726
SAINTE-EUPHEMIE;1133
BEAUPONT;492
BRENS;732
RAMASSE;218
DIVONNE-LES-BAINS;6158
LEAZ;482
VILLES;269
SAINT-JULIEN-SUR-REYSSOUZE;509
GROSLEE;333
VANDEINS;510
VERJON;192
SAINT-ANDRE-SUR-VIEUX-JONC;965
SAINT-ANDRE-D'HUIRIAT;403
GRILLY;615
CESSY;2287
ORDONNAZ;117
VESCOURS;192
MEILLONNAS;1205
GEOVREISSET;763
CEYZERIEU;816
BEARD-GEOVREISSIAT;712
LA BURBANCHE;56
PERREX;721
VILLEMOTIER;455
JASSERON;1257
CORVEISSIAT;473
JOURNANS;330
SERMOYER;543
CHARIX;265
ARBIGNIEU;431
LEYSSARD;143
SAINT-JEAN-DE-THURIGNEUX;554
FRANS;1849
TENAY;1083
BAGE-LA-VILLE;2318
MONTMERLE-SUR-SAONE;2827
COURMANGOUX;360
BANEINS;528
LAGNIEU;5882
ATTIGNAT;1923
SAINT-ANDRE-DE-BAGE;507
PONT-DE-VAUX;2013
AMBERIEU-EN-BUGEY;11432
PEYZIEUX-SUR-SAONE;337
CROZET;1344
SEYSSEL;803
BEYNOST;3528
VERSONNEX;1713
SAINT-LAURENT-SUR-SAONE;1657
ARTEMARE;970
MONTRACOL;619
PARVES;320
PUGIEU;125
VIRIEU-LE-GRAND;949
SAINT-REMY;812
RANCE;498
GRIEGES;1599
GRAND-CORENT;111
OUTRIAZ;267
