490000001;01/01/2016;B21302;50;13
490000002;01/01/2016;B1274;50;12
220000003;01/01/2016;A13125;23;28
220000004;01/01/2016;A21915;23;9
220010004;02/01/2016;A18477;23;25
690010005;02/01/2016;B19839;70;17
690010006;02/01/2016;A20126;70;8
640010007;02/01/2016;B3828;65;27
230010008;02/01/2016;A7696;24;18
440020008;03/01/2016;B14428;45;7
100020009;03/01/2016;B12772;11;34
100020010;03/01/2016;A19343;11;27
100020011;03/01/2016;B6524;11;13
170020012;03/01/2016;A1317;18;15
230020013;03/01/2016;B6524;24;11
160030014;04/01/2016;B3946;17;32
430030015;04/01/2016;B15680;44;14
100040016;05/01/2016;B3952;11;31
430040017;05/01/2016;A10057;44;19
60040018;05/01/2016;B11674;7;25
490040018;05/01/2016;B19923;50;32
200040018;05/01/2016;A2155;21;5
200040019;05/01/2016;B21956;21;24
590040020;05/01/2016;A10258;60;34
20040020;05/01/2016;B18245;3;20
20040021;05/01/2016;A184;3;33
340040021;05/01/2016;A5694;35;8
270040022;05/01/2016;A21137;28;5
440050023;06/01/2016;A8076;45;40
110050024;06/01/2016;A12338;12;30
200050025;06/01/2016;A2192;21;19
350060025;07/01/2016;B20172;36;9
60060026;07/01/2016;B12608;7;38
550060026;07/01/2016;A10280;56;35
10060026;07/01/2016;A16598;2;16
600060027;07/01/2016;B1274;61;23
490070028;08/01/2016;A8552;50;9
350070028;08/01/2016;A10973;36;39
40070029;08/01/2016;B19853;5;26
40070030;08/01/2016;A15118;5;38
200070031;08/01/2016;B21480;21;4
180080031;09/01/2016;A16868;19;8
180080032;09/01/2016;A21399;19;22
480090032;10/01/2016;B2551;49;23
630090033;10/01/2016;B5735;64;24
480090034;10/01/2016;B21000;49;26
490100035;11/01/2016;A10312;50;31
490100036;11/01/2016;A5326;50;24
490100037;11/01/2016;B11311;50;33
90100038;11/01/2016;B7058;10;12
190100038;11/01/2016;B974;20;38
40100039;11/01/2016;A21665;5;36
250100039;11/01/2016;A8330;26;10
660100040;11/01/2016;A21035;67;29
110040;12/01/2016;B19630;1;19
